country,year,over
Australia,1981,NA
Australia,1985,NA
Australia,1989,NA
Australia,1995,NA
Australia,2001,NA
Australia,2003,10.4
Australia,2003,11.1
Australia,2004,11
Australia,2004,11.1
Australia,2008,10.1
Australia,2008,10.4
Australia,2008,11.3
Australia,2008,11.9
Australia,2010,14.2
Australia,2010,14.4
Australia,2010,22.3
Australia,2014,10.2
Australia,2014,11.8
Australia,2014,17
Australia,2014,30.9
Australia,2014,93.7
Austria,1987,NA
Austria,1994,NA
Austria,1995,NA
Austria,1997,NA
Austria,2000,NA
Austria,2004,NA
Austria,2007,10.8
Austria,2010,NA
Austria,2013,10.3
Austria,2013,10.5
Austria,2013,18.6
Belgium,1985,NA
Belgium,1988,NA
Belgium,1992,NA
Belgium,1995,NA
Belgium,1997,NA
Belgium,2000,10.4
Belgium,2000,52.4
Brazil,2006,10.1
Brazil,2006,10.1
Brazil,2006,10.1
Brazil,2006,10.1
Brazil,2006,10.1
Brazil,2006,10.1
Brazil,2006,10.1
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2013,NA
NA,2013,NA
NA,2014,NA
NA,2014,NA
NA,2015,NA
NA,2016,NA
NA,2017,NA
NA,2019,NA
NA,2022,NA
NA,2028,NA
NA,2038,NA
Brazil,2009,10.1
Brazil,2009,10.1
Brazil,2009,10.1
Brazil,2009,10.1
Brazil,2009,10.2
Brazil,2009,10.2
Brazil,2009,10.2
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2013,NA
NA,2014,NA
NA,2014,NA
NA,2015,NA
NA,2016,NA
NA,2018,NA
NA,2022,NA
NA,2035,NA
Brazil,2011,10.1
Brazil,2011,10.1
Brazil,2011,10.1
Brazil,2011,10.1
Brazil,2011,10.1
Brazil,2011,10.1
Brazil,2011,10.2
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2013,NA
NA,2013,NA
NA,2015,NA
NA,2016,NA
NA,2021,NA
NA,2038,NA
Brazil,2013,10.1
Brazil,2013,10.2
Brazil,2013,10.2
Brazil,2013,10.2
Brazil,2013,10.2
Brazil,2013,10.3
Brazil,2013,10.3
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2014,NA
NA,2015,NA
NA,2018,NA
NA,2023,NA
NA,2027,NA
Canada,1971,NA
Canada,1975,NA
Canada,1981,NA
Canada,1987,NA
Canada,1991,NA
Canada,1994,11.1
Canada,1997,11
Canada,1997,12
Canada,1997,17.4
Canada,1997,29.3
Canada,1998,12.4
Canada,1998,14.2
Canada,1998,14.7
Canada,2000,11.3
Canada,2000,12.3
Canada,2000,12.4
Canada,2000,13
Canada,2000,15.6
Canada,2000,17.5
Canada,2004,10.2
Canada,2004,10.3
Canada,2004,14.9
Canada,2004,15.3
Canada,2007,10.1
Canada,2007,11.1
Canada,2007,15.6
Canada,2007,16.7
Canada,2007,18.8
Canada,2007,23.3
Canada,2007,39.7
Canada,2010,10.1
Canada,2010,10.2
Canada,2010,10.5
Canada,2010,10.9
Canada,2010,14.1
Canada,2013,NA
Chile,1990,10.1
Chile,1990,10.2
Chile,1990,10.2
Chile,1990,10.2
Chile,1990,10.3
Chile,1990,10.4
Chile,1990,10.4
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2013,NA
NA,2014,NA
NA,2016,NA
NA,2023,NA
Chile,1992,10.1
Chile,1992,10.1
Chile,1992,10.1
Chile,1992,10.1
Chile,1992,10.1
Chile,1992,10.1
Chile,1992,10.1
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2014,NA
NA,2015,NA
NA,2016,NA
NA,2018,NA
NA,2025,NA
Chile,1994,10.1
Chile,1994,10.2
Chile,1994,10.3
Chile,1994,10.3
Chile,1994,10.5
Chile,1994,10.6
Chile,1994,10.7
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2015,NA
NA,2019,NA
Chile,1996,10.2
Chile,1996,10.2
Chile,1996,10.3
Chile,1996,10.4
Chile,1996,10.7
Chile,1996,10.9
Chile,1996,10.9
NA,2010,NA
NA,2012,NA
NA,2013,NA
NA,2016,NA
NA,2021,NA
Chile,1998,10.1
Chile,1998,10.2
Chile,1998,10.3
Chile,1998,10.3
Chile,1998,10.3
Chile,1998,10.4
Chile,1998,10.4
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2013,NA
NA,2018,NA
NA,2028,NA
NA,2045,NA
Chile,2000,10.1
Chile,2000,10.2
Chile,2000,10.3
Chile,2000,10.5
Chile,2000,10.6
Chile,2000,10.7
Chile,2000,10.7
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2015,NA
NA,2016,NA
NA,2020,NA
NA,2026,NA
NA,1979,NA
Chile,2003,10.1
Chile,2003,10.3
Chile,2003,10.3
Chile,2003,10.3
Chile,2003,10.3
Chile,2003,10.4
Chile,2003,10.4
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2013,NA
NA,2013,NA
NA,2014,NA
NA,2019,NA
NA,2021,NA
NA,1977,NA
Chile,2006,10.1
Chile,2006,10.1
Chile,2006,10.6
Chile,2006,10.8
Chile,2006,10.8
Chile,2006,10.8
Chile,2006,11
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2013,NA
NA,2014,NA
NA,2016,NA
NA,2021,NA
NA,2032,NA
Chile,2009,10.1
Chile,2009,10.2
Chile,2009,10.2
Chile,2009,10.3
Chile,2009,10.4
Chile,2009,10.6
Chile,2009,10.8
NA,2010,NA
NA,2011,NA
NA,2013,NA
NA,2018,NA
Chile,2011,10.1
Chile,2011,10.1
Chile,2011,10.3
Chile,2011,10.3
Chile,2011,10.4
Chile,2011,10.4
Chile,2011,10.4
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2013,NA
NA,2015,NA
NA,2020,NA
Chile,2013,10.1
Chile,2013,10.1
Chile,2013,10.1
Chile,2013,10.1
Chile,2013,10.1
Chile,2013,10.2
Chile,2013,10.2
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2015,NA
NA,2017,NA
NA,2025,NA
Chile,2015,10.1
Chile,2015,10.1
Chile,2015,10.1
Chile,2015,10.1
Chile,2015,10.1
Chile,2015,10.2
Chile,2015,10.2
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2013,NA
NA,2013,NA
NA,2014,NA
NA,2015,NA
NA,2016,NA
NA,2018,NA
NA,2024,NA
NA,2037,NA
China,2002,11
China,2013,14.8
China,2013,16.2
China,2013,20.2
Colombia,2004,11
Colombia,2004,11.2
Colombia,2004,11.7
Colombia,2004,12.7
Colombia,2004,13.8
Colombia,2004,13.9
Colombia,2004,15.2
NA,2015,NA
Colombia,2007,10.1
Colombia,2007,10.3
Colombia,2007,10.4
Colombia,2007,10.5
Colombia,2007,10.6
Colombia,2007,10.7
Colombia,2007,10.8
NA,2010,NA
NA,2012,NA
NA,2013,NA
NA,2015,NA
NA,2019,NA
NA,2039,NA
Colombia,2010,10.2
Colombia,2010,10.2
Colombia,2010,10.5
Colombia,2010,10.6
Colombia,2010,10.8
Colombia,2010,10.8
Colombia,2010,11.2
NA,2011,NA
NA,2014,NA
NA,2018,NA
Colombia,2013,10.1
Colombia,2013,10.3
Colombia,2013,10.6
Colombia,2013,10.8
Colombia,2013,11.1
Colombia,2013,11.5
Colombia,2013,11.6
NA,2011,NA
NA,2015,NA
Czech Republic,1992,NA
Czech Republic,1996,10.6
Czech Republic,1996,12.3
Czech Republic,1996,15.5
Czech Republic,1996,18.4
Czech Republic,2002,12.9
Czech Republic,2004,13.7
Czech Republic,2007,10.2
Czech Republic,2010,NA
Czech Republic,2013,11
Czech Republic,2013,12.7
Denmark,1987,NA
Denmark,1992,12
Denmark,1992,20.9
Denmark,1992,22.5
Denmark,1995,10.5
Denmark,1995,11.2
Denmark,1995,13.6
Denmark,1995,13.7
Denmark,1995,14.4
Denmark,1995,14.8
Denmark,1995,18.6
NA,2019,NA
NA,1958,NA
Denmark,2000,11
Denmark,2000,11.1
Denmark,2000,12.3
Denmark,2000,13.1
Denmark,2000,13.5
Denmark,2000,22.1
